"city","state","slug","growth","densityMi","areaMi","lng","lat","population","pop2026","pop2025","pop2020","pop2010","type","rank"
"Jurupa Valley","California","california/jurupa-valley",0.00653,2551,42.94,-117.468,34.0026,109553,109553,108853,105356,0,"City",325
"San Buenaventura (Ventura)","California","california/san-buenaventura-ventura",-0.00182,5003,21.873,-119.254,34.2678,109430,109430,109630,110632,106433,"City",326
"Sugar Land","Texas","texas/sugar-land",-0.00225,2702,40.468,-95.6338,29.5928,109354,109354,109602,110844,78817,"City",327
"Centennial","Colorado","colorado/centennial",0.0015,3620,30.156,-104.864,39.5909,109178,109178,109015,108202,100377,"City",328
"Woodbridge","New Jersey","new-jersey/woodbridge-township",0.00825,4682,23.258,-74.2924,40.5613,108905,108905,107503,103664,99585,"Township",329
"Lee's Summit","Missouri","missouri/lees-summit",0.01159,1703,63.894,-94.3848,38.9216,108842,108842,107630,101572,91364,"City",330
"Costa Mesa","California","california/costa-mesa",-0.00662,6812,15.806,-117.912,33.6659,107671,107671,108401,112050,109960,"City",331
"Columbia","Maryland","maryland/columbia",0,3361,31.934,-76.859,39.2011,107315,107315,106833,0,99615,"CDP",332
"Fayetteville","Arkansas","arkansas/fayetteville",0.0209,1960,54.755,-94.1666,36.0715,107309,107309,105221,94784,73580,"City",333
"Suffolk","Virginia","virginia/suffolk",0.02081,269,399.167,-76.6348,36.6972,107260,107260,105182,94794,84585,"City",334
"Downey","California","california/downey",-0.01035,8628,12.409,-118.131,33.9382,107069,107069,108218,113966,111772,"City",335
"Brockton","Massachusetts","massachusetts/brockton",0.00221,5011,21.333,-71.0246,42.0825,106892,106892,106340,105485,93810,"City",336
"Lynn","Massachusetts","massachusetts/lynn",0.00912,9939,10.739,-70.962,42.4748,106731,106731,105110,101073,90329,"City",337
"Yuma","Arizona","arizona/yuma",0.01536,881,121.039,-114.522,32.5163,106667,106667,105113,97342,93064,"City",338
"Fort Myers","Florida","florida/fort-myers",0.03328,2650,40.087,-81.8317,26.6178,106233,106233,103075,87288,62298,"City",339
"Fishers","Indiana","indiana/fishers",0.01096,2905,36.565,-85.9684,39.9618,106228,106228,105107,99502,76794,"City",340
"Boulder","Colorado","colorado/boulder",-0.00376,3941,26.894,-105.251,40.0244,105995,105995,106399,108418,97385,"City",341
"Green Bay","Wisconsin","wisconsin/green-bay",-0.00232,2327,45.479,-87.9866,44.5215,105817,105817,106064,107299,104057,"City",342
"West Covina","California","california/west-covina",-0.00519,6598,16.036,-117.91,34.0559,105802,105802,106361,109155,106098,"City",343
"Quincy","Massachusetts","massachusetts/quincy",0.00678,6377,16.573,-71.009,42.261,105694,105694,104564,101492,92271,"City",344
"Carmel","Indiana","indiana/carmel",0.00905,2148,49.086,-86.1484,39.9655,105455,105455,104530,99907,79191,"City",345
"Rialto","California","california/rialto",0.00228,4375,24.092,-117.389,34.1174,105395,105395,105156,103963,99171,"City",346
"Plantation","Florida","florida/plantation-broward-county",0.02211,4827,21.751,-80.2618,26.1256,104997,104997,102845,92088,84955,"City",347
"Renton","Washington","washington/renton",-0.00281,4458,23.54,-122.195,47.4792,104947,104947,105245,106734,90927,"City",348
"Vacaville","California","california/vacaville",0.00447,3512,29.87,-121.969,38.3586,104917,104917,104455,102147,92428,"City",349
"Dearborn","Michigan","michigan/dearborn",-0.00739,4322,24.247,-83.2115,42.3131,104788,104788,105582,109555,98153,"City",350
"Boca Raton","Florida","florida/boca-raton",0.0099,3572,29.178,-80.1037,26.3727,104232,104232,103235,98250,84392,"City",351
"Sandy Springs","Georgia","georgia/sandy-springs",-0.00635,2765,37.663,-84.3689,33.9315,104151,104151,104828,108212,93853,"City",352
"South Bend","Indiana","indiana/south-bend",0.00088,2480,41.895,-86.2688,41.6766,103894,103894,103803,103350,101168,"City",353
"Deltona","Florida","florida/deltona",0.01649,2780,37.324,-81.211,28.9051,103746,103746,102129,94046,85182,"City",354
"Clinton","Michigan","michigan/clinton-charter-township",0.00491,3690,28.026,-82.917,42.5903,103429,103429,102394,100435,96796,"Township",355
"Tracy","California","california/tracy",0.01669,3926,26.337,-121.452,37.7274,103395,103395,101765,93618,82922,"City",356
"Temple","Texas","texas/temple",0.03706,1389,74.165,-97.3885,31.1049,103001,103001,99634,82799,66102,"City",357
"Hesperia","California","california/hesperia",0.00462,1414,72.681,-117.315,34.397,102771,102771,102303,99966,90173,"City",358
"Chico","California","california/chico",-0.00092,2976,34.521,-121.818,39.7589,102722,102722,102816,103289,86187,"City",359
"Albany","New York","new-york/albany",0.00675,4797,21.404,-73.7984,42.6657,102671,102671,101994,98609,97856,"City",360
"Highlands Ranch","Colorado","colorado/highlands-ranch",0,4225,24.268,-104.971,39.5408,102527,102527,102164,0,96713,"CDP",361
"El Monte","California","california/el-monte",-0.01054,10715,9.557,-118.029,34.0746,102399,102399,103519,109119,113475,"City",362
"Wichita Falls","Texas","texas/wichita-falls",-0.00027,1416,72.233,-98.5258,33.9067,102317,102317,102344,102482,104553,"City",363
"New Bedford","Massachusetts","massachusetts/new-bedford",0.00163,5097,20.001,-70.9379,41.6613,101940,101940,101629,100946,95072,"City",364
"El Cajon","California","california/el-cajon",-0.0067,7022,14.51,-116.96,32.8017,101893,101893,102592,106087,99478,"City",365
"Burbank","California","california/burbank-los-angeles-county",-0.0083,5879,17.316,-118.326,34.1901,101793,101793,102663,107012,103340,"City",366
"Lehi","Utah","utah/lehi",0.04784,3353,30.342,-111.871,40.4171,101737,101737,97591,76863,47407,"City",367
"San Mateo","California","california/san-mateo",-0.00638,8380,12.134,-122.311,37.5603,101680,101680,102343,105658,97207,"City",368
"Sunrise","Florida","florida/sunrise",0.00766,6275,16.199,-80.2616,26.1716,101643,101643,100885,97097,84439,"City",369
"North Port","Florida","florida/north-port",0.05068,1022,99.38,-82.198,27.0582,101564,101564,97219,75496,57357,"City",370
